Customer_ID,Tenure_Years,Active_Products,Current_Balance,Avg_3Month_Balance,Monthly_Transactions_Current,Monthly_Transactions_Last_Month,Balance_Velocity,Transaction_Dropoff,Churn_Label,Churn_Probability,AI_Prompt
10002,6,2,12206.04,6003.17,7,45,2.0329,-0.8444,0,0.1447,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10002
    - Account Tenure: 6 Years
    - Estimated Attrition Risk: 14.5%
    - Asset Balance Velocity: 2.03
    - Monthly Transaction Volume Drop-off: -84.4%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10004,4,1,53.24,10076.46,43,7,0.0053,5.1429,0,0.1544,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10004
    - Account Tenure: 4 Years
    - Estimated Attrition Risk: 15.4%
    - Asset Balance Velocity: 0.01
    - Monthly Transaction Volume Drop-off: 514.3%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10005,12,3,114.2,13230.62,25,15,0.0086,0.6667,0,0.5027,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10005
    - Account Tenure: 12 Years
    - Estimated Attrition Risk: 50.3%
    - Asset Balance Velocity: 0.01
    - Monthly Transaction Volume Drop-off: 66.7%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10006,4,4,7158.46,22053.41,26,46,0.3246,-0.4348,0,0.7823,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10006
    - Account Tenure: 4 Years
    - Estimated Attrition Risk: 78.2%
    - Asset Balance Velocity: 0.32
    - Monthly Transaction Volume Drop-off: -43.5%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10007,8,1,869.65,8251.5,15,47,0.1054,-0.6809,1,0.9208,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10007
    - Account Tenure: 8 Years
    - Estimated Attrition Risk: 92.1%
    - Asset Balance Velocity: 0.11
    - Monthly Transaction Volume Drop-off: -68.1%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10008,10,1,524.26,5971.39,23,45,0.0878,-0.4889,0,0.8707,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10008
    - Account Tenure: 10 Years
    - Estimated Attrition Risk: 87.1%
    - Asset Balance Velocity: 0.09
    - Monthly Transaction Volume Drop-off: -48.9%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10009,4,2,33672.78,1865.49,15,34,18.0407,-0.5588,0,0.2792,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10009
    - Account Tenure: 4 Years
    - Estimated Attrition Risk: 27.9%
    - Asset Balance Velocity: 18.04
    - Monthly Transaction Volume Drop-off: -55.9%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10010,6,1,19590.14,19606.18,4,15,0.9991,-0.7333,0,0.2347,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10010
    - Account Tenure: 6 Years
    - Estimated Attrition Risk: 23.5%
    - Asset Balance Velocity: 1.00
    - Monthly Transaction Volume Drop-off: -73.3%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10011,3,4,1649.07,14994.77,43,15,0.11,1.8667,0,0.275,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10011
    - Account Tenure: 3 Years
    - Estimated Attrition Risk: 27.5%
    - Asset Balance Velocity: 0.11
    - Monthly Transaction Volume Drop-off: 186.7%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10012,5,4,6.64,6304.72,3,36,0.0011,-0.9167,1,0.4845,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10012
    - Account Tenure: 5 Years
    - Estimated Attrition Risk: 48.4%
    - Asset Balance Velocity: 0.00
    - Monthly Transaction Volume Drop-off: -91.7%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10014,7,1,3261.81,13130.05,2,40,0.2484,-0.95,1,0.9263,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10014
    - Account Tenure: 7 Years
    - Estimated Attrition Risk: 92.6%
    - Asset Balance Velocity: 0.25
    - Monthly Transaction Volume Drop-off: -95.0%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10015,9,4,2056.69,2161.09,16,41,0.9513,-0.6098,0,0.2649,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10015
    - Account Tenure: 9 Years
    - Estimated Attrition Risk: 26.5%
    - Asset Balance Velocity: 0.95
    - Monthly Transaction Volume Drop-off: -61.0%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10017,13,4,1153.03,4583.98,9,22,0.2515,-0.5909,1,0.9334,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10017
    - Account Tenure: 13 Years
    - Estimated Attrition Risk: 93.3%
    - Asset Balance Velocity: 0.25
    - Monthly Transaction Volume Drop-off: -59.1%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10018,11,1,3074.08,10863.76,11,26,0.2829,-0.5769,0,0.9736,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10018
    - Account Tenure: 11 Years
    - Estimated Attrition Risk: 97.4%
    - Asset Balance Velocity: 0.28
    - Monthly Transaction Volume Drop-off: -57.7%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10019,2,1,36926.74,8000.54,46,32,4.615,0.4375,0,0.2172,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10019
    - Account Tenure: 2 Years
    - Estimated Attrition Risk: 21.7%
    - Asset Balance Velocity: 4.62
    - Monthly Transaction Volume Drop-off: 43.8%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10021,8,1,7353.82,20556.92,18,13,0.3577,0.3846,0,0.2858,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10021
    - Account Tenure: 8 Years
    - Estimated Attrition Risk: 28.6%
    - Asset Balance Velocity: 0.36
    - Monthly Transaction Volume Drop-off: 38.5%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10022,8,1,5073.63,8043.54,18,38,0.6307,-0.5263,1,0.6159,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10022
    - Account Tenure: 8 Years
    - Estimated Attrition Risk: 61.6%
    - Asset Balance Velocity: 0.63
    - Monthly Transaction Volume Drop-off: -52.6%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10024,2,4,1519.37,22815.79,5,16,0.0666,-0.6875,1,0.9533,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10024
    - Account Tenure: 2 Years
    - Estimated Attrition Risk: 95.3%
    - Asset Balance Velocity: 0.07
    - Monthly Transaction Volume Drop-off: -68.8%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10028,9,1,438.54,41383.91,8,13,0.0106,-0.3846,1,0.7721,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10028
    - Account Tenure: 9 Years
    - Estimated Attrition Risk: 77.2%
    - Asset Balance Velocity: 0.01
    - Monthly Transaction Volume Drop-off: -38.5%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10029,10,2,12068.29,4199.92,23,38,2.8728,-0.3947,0,0.2646,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10029
    - Account Tenure: 10 Years
    - Estimated Attrition Risk: 26.5%
    - Asset Balance Velocity: 2.87
    - Monthly Transaction Volume Drop-off: -39.5%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10031,4,2,7435.5,5462.35,24,45,1.361,-0.4667,0,0.1809,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10031
    - Account Tenure: 4 Years
    - Estimated Attrition Risk: 18.1%
    - Asset Balance Velocity: 1.36
    - Monthly Transaction Volume Drop-off: -46.7%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10032,1,2,4373.04,6038.47,29,6,0.7241,3.8333,0,0.2027,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10032
    - Account Tenure: 1 Years
    - Estimated Attrition Risk: 20.3%
    - Asset Balance Velocity: 0.72
    - Monthly Transaction Volume Drop-off: 383.3%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10033,4,1,1281.49,3145.65,6,36,0.4073,-0.8333,0,0.5592,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10033
    - Account Tenure: 4 Years
    - Estimated Attrition Risk: 55.9%
    - Asset Balance Velocity: 0.41
    - Monthly Transaction Volume Drop-off: -83.3%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10035,1,4,21630.13,35546.82,33,5,0.6085,5.6,0,0.2124,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10035
    - Account Tenure: 1 Years
    - Estimated Attrition Risk: 21.2%
    - Asset Balance Velocity: 0.61
    - Monthly Transaction Volume Drop-off: 560.0%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
10036,3,3,1056.4,4153.41,4,17,0.2543,-0.7647,0,0.5969,"[ROLE]: Senior Financial Retention Strategist at a Big 5 Bank
    [CLIENT METRICS]:
    - Customer Account ID: 10036
    - Account Tenure: 3 Years
    - Estimated Attrition Risk: 59.7%
    - Asset Balance Velocity: 0.25
    - Monthly Transaction Volume Drop-off: -76.5%

    [TASK]: Synthesize a highly personalized retention outreach blueprint.
    If Balance Velocity is low, offer an exclusive high-interest TFSA/GIC rate match.
    If Transaction Drop-off is high, offer a 12-month annual fee waiver on their premium credit card product.
    Keep the tone professional, empathetic, and concise"
